3136,9a74acdffbee35ad.jpg,186,16,14,34144,5213,,,,r,g,b
1075,e7202e37178d1630.jpg,195,53,20,34816,6809,,,,255,0,0
1195,70f678e2b7e1d851.jpg,217,65,50,40364,8169,,,,,,
1089,61a9db6d9257fc89.jpg,153,22,20,22525,11288,,,,,,
262,e9e05989620d30b4.jpg,186,69,49,27434,11923,,,,,,
3507,a07a3bd7edacda4a.jpg,173,76,29,23312,13341,,,,,,
205,5329face3571137f.jpg,189,79,55,26455,13622,,,,,,
3913,c0b1346b17b6cbfb.jpg,195,100,17,27736,13889,,,,,,
3425,dccb56c29f2d7491.jpg,223,112,25,36560,14193,,,,,,
3177,b2a04e0085d53e49.jpg,183,94,22,24169,14504,,,,,,
939,d22e6e31732a9f59.jpg,175,77,50,22196,14829,,,,,,
513,a73b93ac02b932d4.jpg,139,40,13,17552,15225,,,,,,
1206,5d77807dcab2d7a8.jpg,134,21,17,17226,15371,,,,,,
3851,7878a0e912e502b3.jpg,169,66,61,20484,15473,,,,,,
651,582a5b1a2d361856.jpg,167,80,39,19968,15665,,,,,,
37,35ea339c169f30cf.jpg,161,80,26,18845,15912,,,,,,
900,855dffdd4d2bb84e.jpg,180,84,58,21980,16045,,,,,,
4359,ae1e9235101d3355.jpg,177,59,82,21124,16289,,,,,,
1095,13fed2038bccb3ce.jpg,177,93,45,20655,16758,,,,,,
816,bcbad3257899df67.jpg,178,82,65,20735,16878,,,,,,
3854,7c1a65d5463897d4.jpg,199,103,58,25628,17109,,,,,,
2869,63743e7b0786e5f2.jpg,185,110,14,21929,17196,,,,,,
1612,8b58ce108ece3ac5.jpg,189,46,104,22789,17288,,,,,,
2074,44d1101808426fc7.jpg,147,68,33,15896,17377,,,,,,
4196,8dc34209dd8832bb.jpg,153,76,35,16408,17405,,,,,,
1081,75eed261f05be2a7.jpg,175,78,72,19357,17668,,,,,,
4590,2e47f4696cc3451a.jpg,199,106,60,24765,17972,,,,,,
2867,4c61084cb23c86f7.jpg,187,96,66,21397,18196,,,,,,
4675,9786b4394bfcbdb6.jpg,132,53,20,14215,18338,,,,,,
997,ae79b0eadfa8b075.jpg,156,88,29,15751,18386,,,,,,
4643,0c4193ee8f18ffc5.jpg,142,72,24,14404,18529,,,,,,
2542,0344cade36bbd4f4.jpg,153,90,16,15053,18760,,,,,,
772,ba2a63e2ef750b9e.jpg,203,123,32,25056,18857,,,,,,
799,7134f49468f253eb.jpg,158,88,43,15371,19002,,,,,,
4569,9732232c0fd07f66.jpg,168,106,18,16664,19129,,,,,,
316,a942f53c02b9fdeb.jpg,137,72,5,13560,19133,,,,,,
1979,8fb383dab5674397.jpg,149,88,18,14133,19304,,,,,,
2217,1e8a39add490c98c.jpg,177,93,68,18056,19357,,,,,,
3522,0bfcd180b1d67f94.jpg,162,86,59,15367,19526,,,,,,
1909,b0949c7a6c5ea8fa.jpg,149,91,8,13856,19581,,,,,,
203,5bbac5ed2544acd0.jpg,160,100,26,14924,19701,,,,,,
4884,4a0eb4f4129312d3.jpg,138,57,53,12986,19747,,,,,,
3866,c8096c36b36d8f3b.jpg,147,87,23,13511,19762,,,,,,
2088,a378d7133e59bbce.jpg,193,96,82,21309,19784,,,,,,
1793,87cb5916a5e8ba9d.jpg,177,91,74,17572,19841,,,,,,
2923,8b26e854cf7bb04f.jpg,156,92,41,14191,19946,,,,,,
4247,c3488f1df387a5ac.jpg,123,29,41,12607,19946,,,,,,
1179,ff01f49bc8bf3c3d.jpg,133,61,42,12204,20369,,,,,,
1647,fd21af8ef84928fa.jpg,149,92,26,13061,20376,,,,,,
3821,8d9c62fd72f8322a.jpg,177,108,53,16856,20557,,,,,,
4867,c143e734fa60ca49.jpg,165,105,38,14756,20569,,,,,,
3957,8efeedb2201500f8.jpg,170,99,60,15499,20626,,,,,,
4250,7f30ede5ce60077a.jpg,150,84,52,12740,20785,,,,,,
2111,92eb72d6587bfbf9.jpg,117,31,28,11944,20789,,,,,,
1784,dc7bc85fb3d266be.jpg,116,34,21,11859,20918,,,,,,
1267,8ce6d8afb2779d20.jpg,163,104,41,14072,20961,,,,,,
3077,24e7a124ecb7ef0f.jpg,137,73,43,11591,21102,,,,,,
1945,e3f5c26de2e5735f.jpg,144,82,47,11803,21254,,,,,,
4426,1314838e2ee5b090.jpg,140,62,65,11531,21294,,,,,,
3948,66840f96185e5bd9.jpg,152,95,41,12398,21315,,,,,,
2547,57fd0cd0919e1ff5.jpg,136,79,33,11166,21491,,,,,,
1770,fe8974f35fed4860.jpg,176,108,60,15712,21505,,,,,,
1060,2518fee9f6e3ff5f.jpg,203,123,62,22236,21677,,,,,,
1989,5def226cacccf8f7.jpg,138,84,35,10763,21970,,,,,,
2107,27f1a98f37ffc13f.jpg,151,100,36,11505,22112,,,,,,
4980,0251452642908e43.jpg,158,90,68,12240,22133,,,,,,
4780,a6b864b8dd28d321.jpg,160,102,53,12387,22238,,,,,,
4443,16afa69948a220ff.jpg,193,123,58,18756,22337,,,,,,
2928,bd8c06f6e7ab7c02.jpg,161,112,31,12416,22341,,,,,,
694,9ef8dccc25135c88.jpg,155,96,57,11560,22465,,,,,,
1198,1166b9acbbb80436.jpg,185,118,61,16580,22545,,,,,,
2683,4b1e163decd0cf24.jpg,145,91,48,10440,22685,,,,,,
566,6dae13b16ea93730.jpg,129,69,46,9764,22753,,,,,,
927,fe4013fc841988c9.jpg,147,88,58,10501,22772,,,,,,
4571,9f0be7ecf55bba30.jpg,109,30,24,10405,22792,,,,,,
1764,93f9b892ebc4f6a8.jpg,134,81,41,9714,22883,,,,,,
4159,c43ee76d966dbddb.jpg,165,52,110,12421,22904,,,,,,
2498,3cb021c559460dd9.jpg,164,100,68,12272,22905,,,,,,
2689,3a6b441c2cecca3a.jpg,180,110,72,15116,22909,,,,,,
2562,786a272b7477a812.jpg,133,81,39,9607,22966,,,,,,
592,e9afc32f4c18fd84.jpg,163,102,65,11940,23093,,,,,,
3775,29d6d8b90e19a3b6.jpg,184,105,84,15775,23122,,,,,,
4880,1eb23c0cbf0c2ca3.jpg,135,84,41,9488,23137,,,,,,
2740,f5e5d5a2458a2a9a.jpg,181,124,48,15081,23156,,,,,,
4135,f7285c5a54f0d898.jpg,124,62,47,9323,23214,,,,,,
861,daa339007b1df1f1.jpg,158,102,60,10960,23413,,,,,,
536,c068544579520e24.jpg,126,74,36,9104,23413,,,,,,
1299,ccd5f6cd36c40830.jpg,196,103,97,18398,23499,,,,,,
100,1741b460e934a8b4.jpg,196,132,52,18288,23609,,,,,,
2789,ba628b36e5da77a6.jpg,172,122,44,12764,23709,,,,,,
1968,a3773c4407789deb.jpg,132,81,45,8838,23715,,,,,,
25,a2044226ce511052.jpg,111,41,37,9271,23786,,,,,,
418,bd8497bf937e435b.jpg,120,71,23,8830,23795,,,,,,
188,d89030947d17b024.jpg,153,108,42,9981,23832,,,,,,
2257,e4d4582958365b79.jpg,109,36,37,9216,23981,,,,,,
1899,d0c224239f713888.jpg,190,119,75,16314,24011,,,,,,
3270,a7906264c7521a47.jpg,144,96,50,9020,24037,,,,,,
452,ce52a02e0fc54539.jpg,137,93,39,8599,24094,,,,,,
1512,71bccfa983d9f507.jpg,143,101,38,8804,24189,,,,,,
1990,fcf1516f093711e1.jpg,107,47,9,9159,24194,,,,,,
4939,cd30a641a91bcfea.jpg,183,120,68,14465,24208,,,,,,
588,2e0982a26b23f67a.jpg,124,64,55,8255,24282,,,,,,
3318,1855008b80b79531.jpg,135,81,59,8183,24442,,,,,,
2417,4b9065b7971fc61c.jpg,156,95,75,9686,24451,,,,,,
3622,c8a3499bad11b4c5.jpg,140,86,62,8360,24465,,,,,,
4387,0bca43c8afa39c75.jpg,139,89,56,8264,24513,,,,,,
352,6126fa51da895ef4.jpg,133,77,61,8039,24534,,,,,,
1042,648f3f07d1087191.jpg,133,92,35,8000,24573,,,,,,
4607,80de5724695b5213.jpg,128,83,40,7895,24618,,,,,,
2078,d74d302c470478b1.jpg,159,123,17,9863,24634,,,,,,
3157,b2e355c7a82ce546.jpg,186,134,45,14615,24742,,,,,,
2824,17e872e2bbebf47f.jpg,125,67,58,7772,24753,,,,,,
3577,f1b18d8562712ec2.jpg,146,81,80,8355,24842,,,,,,
551,05c7869f87f55dc8.jpg,140,91,58,7955,24870,,,,,,
1499,11d0d827fedf1289.jpg,139,94,51,7884,24893,,,,,,
3198,731f10ee0e1d6b70.jpg,155,109,55,9119,24906,,,,,,
2918,c0e66b3f028bf888.jpg,117,71,30,7748,24985,,,,,,
1596,3fb5e100e9962553.jpg,125,82,37,7532,24993,,,,,,
3536,8aa1e9cf4fbc2959.jpg,146,99,58,8151,25046,,,,,,
1208,361cfa55ecf58dac.jpg,112,60,32,7920,25073,,,,,,
1748,f39df149a3d682a1.jpg,214,142,57,22383,25094,,,,,,
4944,c86b8d2fe7d79306.jpg,143,96,58,7869,25124,,,,,,
403,6d6f4c5a145ae9e2.jpg,109,49,38,8036,25161,,,,,,
4198,96ce1ccb8b0a3ec0.jpg,146,84,79,8019,25178,,,,,,
3543,bda783d21002d7f3.jpg,174,106,86,11644,25193,,,,,,
3560,99f1d1f6fc85186a.jpg,188,138,41,14619,25214,,,,,,
2567,fe6e4eaeee95d620.jpg,158,107,66,9159,25214,,,,,,
2587,5c8100e1f33ca3ab.jpg,113,65,29,7703,25230,,,,,,
413,7b031cffdf30f4c7.jpg,175,127,52,11792,25233,,,,,,
3982,b51eac01406d30db.jpg,131,91,40,7280,25257,,,,,,
1336,ab3ec6f1f4f6b3d3.jpg,126,85,38,7207,25310,,,,,,
2028,b36967d5f2487549.jpg,143,99,55,7623,25370,,,,,,
2917,d264fc6bbeb224dd.jpg,203,101,112,18464,25449,,,,,,
691,692cc7ce168a09d0.jpg,143,101,52,7544,25449,,,,,,
4717,5d80e80774e0bc0f.jpg,127,86,41,7052,25461,,,,,,
3726,927ea749dc0c3eaa.jpg,126,83,44,7051,25466,,,,,,
2260,40fbc3abe221f821.jpg,123,84,32,7049,25504,,,,,,
4671,e390c316037cb657.jpg,162,106,75,9383,25510,,,,,,
183,9dcea48255ac8ce5.jpg,176,99,98,11571,25646,,,,,,
67,84f773d4c6c6e690.jpg,145,93,70,7476,25649,,,,,,
303,3e0edef244c67629.jpg,165,95,93,9551,25774,,,,,,
2788,a81ed2f9176ac8b6.jpg,142,97,60,7155,25778,,,,,,
4596,1849e790e496eebe.jpg,117,76,31,6952,25781,,,,,,
327,b05510e5f7e02197.jpg,149,111,48,7576,25861,,,,,,
4854,a68cddeb183d3712.jpg,133,86,60,6693,25880,,,,,,
3928,bd22a0564c644b6c.jpg,228,52,150,26780,25933,,,,,,
1913,559d5aa1c5cc1f7e.jpg,137,99,47,6759,25934,,,,,,
2155,71d27237813b4e32.jpg,136,93,56,6711,25946,,,,,,
1027,7339d95099f57bed.jpg,146,116,25,7235,25962,,,,,,
435,f133b272d519979c.jpg,133,85,63,6495,26078,,,,,,
1640,c4b02b7c61233707.jpg,127,90,40,6429,26084,,,,,,
3526,dee5a55f44c39bfa.jpg,162,124,46,8752,26141,,,,,,
2294,de392f6de52a9618.jpg,210,155,10,19975,26150,,,,,,
3415,a4f0672e00d1b780.jpg,172,112,82,10316,26157,,,,,,
2102,e4761d3f23cbd020.jpg,96,28,10,8332,26165,,,,,,
4342,17b8ce402665f12f.jpg,117,74,41,6532,26201,,,,,,
1211,db1f9be39fc63e6b.jpg,154,98,80,7712,26205,,,,,,
3409,451e7ba901ad661d.jpg,166,112,76,9236,26241,,,,,,
2861,6edd197790907d59.jpg,145,102,62,6777,26348,,,,,,
1431,df959d180c6bb08f.jpg,147,110,51,6908,26365,,,,,,
349,9a4bdab75fde90f6.jpg,209,133,81,19431,26366,,,,,,
4645,5e0c148385ccd46a.jpg,171,113,81,9911,26386,,,,,,
3944,0d6bec13c9124170.jpg,169,113,79,9551,26406,,,,,,
3120,06475bc420ee8c97.jpg,123,84,44,6137,26416,,,,,,
